protein,pearson_correlation,protein_uniprot
RGS7,,P49802
RGS8,,P57771
RGS9BP,,Q6ZS82
RHEB,,Q15382
RHO,,P08100
RHOA,-0.01593036652290157,P61586
RHOC,,P08134
RHOXF1,,Q8NHV9
RHOXF2,,Q9BQY4
RHOXF2B,,P0C7M4
RING1,,Q06587
RIPK1,,Q13546
RIPK2,,O43353
RIPK3,,Q9Y572
RLF,,Q13129
RLIM,,Q9NVW2
RNASE1,,P07998
RNASE3,,P12724
RND3,,P61587
RNF10,,Q8N5U6
RNF111,,Q6ZNA4
RNF138,,Q8WVD3
RNF14,,Q9UBS8
RNF141,,Q8WVD5
RNF2,,Q99496
RNF20,,Q5VTR2
RNF4,,P78317
RNF43,,Q68DV7
RNF6,,Q9Y252
RNPEP,,Q9H4A4
ROCK1,,Q13464
ROCK2,,O75116
RORA,-0.0012108401404689233,P35398
RORB,0.04958168372573947,Q92753
RORC,-0.05603801297095824,P51449
ROS1,,P08922
RPL10L,,Q96L21
RPL11,,P62913
RPL13A,,P40429
RPL15,,P61313
RPL19,,P84098
RPL23,,P62829
RPL23A,,P62750
RPL26L1,,Q9UNX3
RPL3,,P39023
RPL37,,P61927
RPL8,,P62917
RPS2,,P15880
RPS6KA1,,Q15418
RPS6KA2,,Q15349
RPS6KA3,,P51812
RPS6KA4,,O75676
RPS6KA5,,O75582
RPS6KA6,,Q9UK32
RPS6KB1,,P23443
RPS6KB2,,Q9UBS0
RPTOR,,Q8N122
RRAD,,P55042
RRAS2,,P62070
RREB1,,Q92766
RRM1,,P23921
RRM2,,P31350
RRM2B,,Q7LG56
RRN3,,Q9NYV6
RS1,,O15537
RSF1,,Q96T23
RSL24D1,,Q9UHA3
RTEL1,,Q9NZ71
RTN4R,,Q9BZR6
RUNX1,,Q01196
RUNX2,,Q13950
RUNX3,,Q13761
RUVBL1,,Q9Y265
RUVBL2,,Q9Y230
RXFP3,,Q9NSD7
RXFP4,,Q8TDU9
RXRA,0.015963816292003625,P19793
RXRB,-0.02655570971594464,P28702
RXRG,-0.023666980878356583,P48443
RYBP,,Q8N488
RYR1,,P21817
RYR2,,Q92736
RYR3,,Q15413
SAFB,,Q15424
SAFB2,,Q14151
SALL1,,Q9NSC2
SALL2,,Q9Y467
SALL3,,Q9BXA9
SALL4,,Q9UJQ4
SAP130,,Q9H0E3
SAP18,,O00422
SAP30,,O75446
SAR1A,,Q9NR31
SAR1B,,Q9Y6B6
SAT1,,P21673
SATB1,,Q01826
SATB2,,Q9UPW6
SCAI,,Q8N9R8
SCAND1,,P57086
SCARA5,,Q6ZMJ2
SCARB1,,Q8WTV0
SCD,,O00767
SCG2,,P13521
SCIN,,Q9Y6U3
SCMH1,,Q96GD3
SCN10A,,Q9Y5Y9
SCN11A,,Q9UI33
SCN1A,,P35498
SCN1B,,Q07699
SCN2A,,Q99250
SCN2B,,O60939
SCN3A,,Q9NY46
SCN3B,,Q9NY72
SCN4A,,P35499
SCN4B,,Q8IWT1
SCN5A,,Q14524
SCN7A,,Q01118
SCN8A,,Q9UQD0
SCN9A,,Q15858
SCNN1A,,P37088
SCNN1B,,P51168
SCNN1D,,P51172
SCNN1G,,P51170
SCO1,,O75880
SCO2,,O43819
SCRT1,,Q9BWW7
SCRT2,,Q9NQ03
SCT,,P09683
SCTR,,P47872
SCX,,Q7RTU7
SDC2,,P34741
SDHD,,O14521
SDR16C5,,Q8N3Y7
SEBOX,,Q9HB31
SEC14L2,,O76054
SEC14L3,,Q9UDX4
SEC14L4,,Q9UDX3
SELE,,P16581
SELENOH,,Q8IZQ5
SELL,,P14151
SELP,,P16109
SENP2,,Q9HC62
SERHL2,,Q9H4I8
SERPINA1,,P01009
SERPINA6,,P08185
SERPINB2,,P05120
SERPINB3,,P29508
SERPINB5,,P36952
SERPINC1,,P01008
SERPIND1,,P05546
SERPINE1,,P05121
SERPINF1,,P36955
SERTAD2,,Q14140
SETD2,,Q9BYW2
SETD3,,Q86TU7
SETD5,,Q9C0A6
SETD7,,Q8WTS6
SETDB1,,Q15047
SETDB2,,Q96T68
SF1,,Q15637
SFMBT1,,Q9UHJ3
SFPQ,,P23246
SFRP1,,Q8N474
SFRP4,,Q6FHJ7
SGK1,,O00141
SGK2,,Q9HBY8
SGK3,,Q96BR1
SH2B3,,Q9UQQ2
SHBG,,P04278
SHC1,,P29353
SHH,,Q15465
SHMT1,,P34896
SHMT2,,P34897
SHOX,,O15266
SHOX2,,O60902
SIAH1,,Q8IUQ4
SIAH2,,O43255
SIGMAR1,,Q99720
SIK1,,P57059
SIK2,,Q9H0K1
SIM1,,P81133
SIM2,,Q14190
SIN3A,,Q96ST3
SIN3B,,O75182
SIRT1,,Q96EB6
SIRT2,0.02415924043534551,Q8IXJ6
SIRT3,,Q9NTG7
SIRT4,,Q9Y6E7
SIRT5,,Q9NXA8
SIRT7,,Q9NRC8
SIX1,,Q15475
SIX2,,Q9NPC8
SIX3,,O95343
SIX4,,Q9UIU6
SIX5,,Q8N196
SIX6,,O95475
SKI,,P12755
SKIL,,P12757
SKOR1,,P84550
SKOR2,,Q2VWA4
SLC10A1,,Q14973
SLC10A2,,Q12908
SLC11A2,,P49281
SLC12A1,,Q13621
SLC12A2,,P55011
SLC12A3,,P55017
SLC12A4,,Q9UP95
SLC12A5,,Q9H2X9
SLC15A1,,P46059
SLC15A2,,Q16348
SLC15A3,,Q8IY34
SLC15A4,,Q8N697
SLC15A5,,A6NIM6
SLC16A1,,P53985
SLC16A7,,O60669
SLC18A1,,P54219
SLC18A2,,Q05940
SLC18A3,,Q16572
SLC1A1,,P43005
SLC1A2,,P43004
SLC1A3,,P43003
SLC1A6,,P48664
SLC1A7,,O00341
SLC20A1,,Q8WUM9
SLC22A1,,O15245
SLC22A11,,Q9NSA0
SLC22A12,,Q96S37
SLC22A2,,O15244
SLC22A3,,O75751
SLC22A4,,Q9H015
SLC22A5,,O76082
SLC22A6,,Q4U2R8
SLC22A7,,Q9Y694
SLC22A8,,Q8TCC7
SLC22A9,,Q8IVM8
SLC23A1,,Q9UHI7
SLC23A2,,Q9UGH3
SLC25A12,,O75746
SLC25A13,,Q9UJS0
SLC25A18,,Q9H1K4
SLC25A20,,O43772
SLC25A22,,Q9H936
SLC25A4,,P12235
SLC25A5,,P05141
SLC25A6,,P12236
SLC26A3,,P40879
SLC27A1,,Q6PCB7
SLC29A1,,Q99808
SLC29A4,,Q7RTT9
SLC2A1,,P11166
SLC2A2,,P11168
SLC2A3,,P11169
SLC2A4,,P14672
SLC2A4RG,,Q9NR83
SLC30A1,,Q9Y6M5
SLC30A10,,Q6XR72
SLC30A2,,Q9BRI3
SLC30A3,,Q99726
SLC30A4,,O14863
SLC30A5,,Q8TAD4
SLC30A6,,Q6NXT4
SLC30A7,,Q8NEW0
SLC30A8,,Q8IWU4
SLC31A2,,O15432
SLC32A1,,Q9H598
SLC36A1,,Q7Z2H8
SLC38A1,,Q9H2H9
SLC46A1,,Q96NT5
SLC47A1,,Q96FL8
SLC47A2,,Q86VL8
SLC4A4,,Q9Y6R1
SLC52A2,,Q9HAB3
SLC5A1,,P13866
SLC5A11,,Q8WWX8
SLC5A2,,P31639
SLC5A3,,P53794
SLC5A4,,Q9NY91
SLC5A7,,Q9GZV3
SLC5A8,,Q8N695
SLC6A1,,P30531
SLC6A11,,P48066
SLC6A12,,P48065
SLC6A13,,Q9NSD5
SLC6A14,,Q9UN76
SLC6A2,,P23975
SLC6A3,,Q01959
SLC6A4,,P31645
SLC6A5,,Q9Y345
SLC6A7,,Q99884
SLC6A8,,P48029
SLC6A9,,P48067
SLC7A1,,P30825
SLC7A11,,Q9UPY5
SLC7A2,,P52569
SLC7A3,,Q8WY07
SLC7A4,,O43246
SLC7A7,,Q9UM01
SLC8A1,,P32418
SLC9A1,,P19634
SLC9A3R1,,O14745
SLC9A7,,Q96T83
SLC9B2,,Q86UD5
SLCO1A2,,P46721
SLCO1B1,,Q9Y6L6
SLCO1B3,,Q9NPD5
SLCO1C1,,Q9NYB5
SLCO2A1,,Q92959
SLCO2B1,,O94956
SLK,,Q9H2G2
SLURP1,,P55000
SMAD1,,Q15797
SMAD2,,Q15796
SMAD3,,P84022
SMAD4,,Q13485
SMAD5,,Q99717
SMAD6,,O43541
SMAD7,,O15105
SMAD9,,O15198
SMARCA1,,P28370
SMARCA2,,P51531
SMARCA4,,P51532
SMARCA5,,O60264
SMARCAD1,,Q9H4L7
SMARCB1,,Q12824
SMARCC1,,Q92922
SMARCC2,,Q8TAQ2
SMARCD1,,Q96GM5
SMARCD2,,Q92925
SMARCD3,,Q6STE5
SMARCE1,,Q969G3
SMO,,Q99835
SMOX,,Q9NWM0
SMPD1,,P17405
SMPD2,,O60906
SMPD3,,Q9NY59
SMPD4,,Q9NXE4
SMURF2,,Q9HAU4
SMYD1,,Q8NB12
SMYD2,,Q9NRG4
SNAI1,,O95863
SNAI2,,O43623
SNAI3,,Q3KNW1
SNAP25,,P60880
SNAPC4,,Q5SXM2
SNCA,,P37840
SND1,,Q7KZF4
SNIP1,,Q8TAD8
SNW1,,Q13573
SOAT1,,P35610
SOAT2,,O75908
SOCS1,,O15524
SOCS3,,O14543
SOD1,,P00441
SOD2,,P04179
SOD3,,P08294
SOHLH1,,Q5JUK2
SOHLH2,,Q9NX45
SORD,,Q00796
SORT1,,Q99523
SOX1,,O00570
SOX10,,P56693
SOX11,,P35716
SOX12,,O15370
SOX13,,Q9UN79
SOX14,,O95416
SOX15,,O60248
SOX17,,Q9H6I2
SOX18,,P35713
SOX2,,P48431
SOX21,,Q9Y651
SOX3,,P41225
SOX30,,O94993
SOX4,,Q06945
SOX5,,P35711
SOX6,,P35712
SOX7,,Q9BT81
SOX8,,P57073
SOX9,,P48436
SP1,-0.01944261772760867,P08047
SP100,,P23497
SP110,,Q9HB58
SP140,,Q13342
SP140L,,Q9H930
SP2,,Q02086
SP3,,Q02447
SP4,,Q02446
SP5,,Q6BEB4
SP6,,Q3SY56
SP7,,Q8TDD2
SP8,,Q8IXZ3
SP9,,P0CG40
SPDEF,,O95238
SPEN,,Q96T58
SPHK1,,Q9NYA1
SPHK2,,Q9NRA0
SPI1,,P17947
SPIB,,Q01892
SPIC,,Q8N5J4
SPIRE2,,Q8WWL2
SPP1,,P10451
SPRY1,,O43609
SPRY2,,O43597
SPRY3,,O43610
SPRY4,,Q9C004
SPTBN1,,Q01082
SPTLC1,,O15269
SPTLC2,,O15270
SPTLC3,,Q9NUV7
SPZ1,,Q9BXG8
SQLE,,Q14534
SRA1,,Q9HD15
SRC,,P12931
SRCAP,,Q6ZRS2
SRD5A1,,P18405
SRD5A2,,P31213
SRD5A3,,Q9H8P0
SREBF1,-0.021655362582636728,P36956
SREBF2,0.024680718394437574,Q12772
SRF,,P11831
SRMS,,Q9H3Y6
SRPK1,,Q96SB4
SRPK2,,P78362
SRSF2,,Q01130
SRSF8,,Q9BRL6
SRY,,Q05066
SSBP2,,P81877
SSBP3,,Q9BWW4
SSRP1,,Q08945
SST,,P61278
SSTR1,,P30872
SSTR2,,P30874
SSTR3,,P32745
SSTR4,,P31391
SSTR5,,P35346
SSX1,,Q16384
SSX3,,Q99909
SSX4B,,O60224
SSX5,,O60225
SSX7,,Q7RTT5
ST14,,Q9Y5Y6
ST18,,O60284
STAR,,P49675
STAT1,0.004558796458032126,P42224
STAT2,,P52630
STAT3,0.024489011371142025,P40763
STAT4,,Q14765
STAT5A,,P42229
STAT5B,,P51692
STAT6,0.030466773021667018,P42226
STING1,,Q86WV6
STK10,,O94804
STK11,,Q15831
STK16,,O75716
STK17A,,Q9UEE5
STK17B,,O94768
STK24,,Q9Y6E0
STK25,,O00506
STK26,,Q9P289
STK3,,Q13188
STK33,,Q9BYT3
STK38,,Q15208
STK39,,Q9UEW8
STK4,,Q13043
STMN1,,P16949
STMN4,,Q9H169
STS,,P08842
STXBP1,,P61764
STYK1,,Q6J9G0
SUB1,,P53999
SUFU,,Q9UMX1
SULT1A1,,P50225
SULT1A2,,P50226
SULT1A3,,P0DMM9
SULT1B1,,O43704
SULT1C2,,O00338
SULT1E1,,P49888
SULT2A1,,Q06520
SULT2B1,,O00204
SUMF2,,Q8NBJ7
SUMO1,,P63165
SUMO3,,P55854
SUPT3H,,O75486
SUPT4H1,,P63272
SUPT5H,,O00267
SUPT6H,,Q7KZ85
SUPT7L,,O94864
SUV39H1,-0.0038584066403645405,O43463
SUV39H2,,Q9H5I1
SUZ12,,Q15022
SV2A,,Q7L0J3
SYK,,P43405
SYT5,,O00445
TAAR1,,Q96RJ0
TAAR5,,O14804
TAC1,,P20366
TACC3,,Q9Y6A5
TACR1,,P25103
TACR2,,P21452
TACR3,,P29371
TADA1,,Q96BN2
TADA2A,,O75478
TADA2B,,Q86TJ2
TADA3,,O75528
TAF1,,P21675
TAF10,,Q12962
TAF11,,Q15544
TAF12,,Q16514
TAF1A,,Q15573
TAF1C,,Q15572
TAF1D,,Q9H5J8
TAF1L,,Q8IZX4
TAF4,,O00268
TAF4B,,Q92750
TAF5,,Q15542
TAF5L,,O75529
TAF6,,P49848
TAF6L,,Q9Y6J9
TAF7,,Q15545
TAF7L,,Q5H9L4
TAF9,,Q16594
TAF9B,,Q9HBM6
TAL1,,P17542
TAL2,,Q16559
TAOK1,,Q7L7X3
TAOK2,,Q9UL54
TAOK3,,Q9H2K8
TAS1R1,,Q7RTX1
TAS1R2,,Q8TE23
TAS1R3,,Q7RTX0
TAT,,P17735
TBC1D1,,Q86TI0
TBC1D4,,O60343
TBK1,,Q9UHD2
TBL1X,,O60907
TBL1XR1,,Q9BZK7
TBL1Y,,Q9BQ87
TBP,,P20226
TBPL1,,P62380
TBR1,,Q16650
TBX1,,O43435
TBX10,,O75333
TBX15,,Q96SF7
TBX18,,O95935
TBX19,0.0613160283729707,O60806
TBX2,,Q13207
TBX20,,Q9UMR3
TBX21,,Q9UL17
TBX22,,Q9Y458
TBX3,,O15119
TBX4,,P57082
TBX5,,Q99593
TBX6,,O95947
TBXA2R,,P21731
TBXAS1,,P24557
TBXT,,O15178
TCEA1,,P23193
TCEA2,,Q15560
TCEB2,,None
TCERG1,,O14776
TCF12,,Q99081
TCF15,,Q12870
TCF19,,Q9Y242
TCF20,,Q9UGU0
TCF21,,O43680
TCF23,,Q7RTU1
TCF24,,Q7RTU0
TCF25,,Q9BQ70
TCF3,,P15923
TCF4,,P15884
TCF7,,P36402
TCF7L1,,Q9HCS4
TCF7L2,,Q9NQB0
TCFL5,,Q9UL49
TDO2,,P48775
TDP2,,O95551
TDRD3,,Q9H7E2
TEAD1,,P28347
TEAD2,,Q15562
TEAD3,,Q99594
TEAD4,,Q15561
TEC,,P42680
TEF,,Q10587
TEK,,Q02763
TEP1,,Q99973
TERB1,,Q8NA31
TERF1,,P54274
TERF2,,Q15554
TERT,,O14746
TFAM,,Q00059
TFAP2A,,P05549
TFAP2B,,Q92481
TFAP2C,,Q92754
TFAP2D,,Q7Z6R9
TFAP2E,,Q6VUC0
TFAP4,,Q01664
TFCP2,,Q12800
TFCP2L1,,Q9NZI6
TFDP1,,Q14186
TFDP2,,Q14188
TFDP3,,Q5H9I0
TFE3,,P19532
TFEB,,P19484
TFEC,,O14948
TFF1,,P04155
TFPI,,P10646
TGFA,,P01135
TGFB1,-0.005085504961023321,P01137
TGFB1I1,,O43294
TGFB2,,P61812
TGFBR1,,P36897
TGFBR2,,P37173
TGIF1,,Q15583
TGIF2,,Q9GZN2
TGIF2LX,,Q8IUE1
TGIF2LY,,Q8IUE0
TGM2,,P21980
TGS1,,Q96RS0
THAP1,,Q9NVV9
THAP10,,Q9P2Z0
THAP11,,Q96EK4
THAP12,,O43422
THAP2,,Q9H0W7
THAP3,,Q8WTV1
THAP4,,Q8WY91
THAP5,,Q7Z6K1
THAP6,,Q8TBB0
THAP7,,Q9BT49
THAP8,,Q8NA92
THAP9,,Q9H5L6
THBD,,P07204
THBS1,,P07996
THEM4,,Q5T1C6
THRA,-0.006417466850083892,P10827
THRAP3,,Q9Y2W1
THRB,-0.006704361733164367,P10828
TICAM1,,Q8IUC6
TIE1,,P35590
TIMP2,,P16035
TIMP3,,P35625
TK1,,P04183
TK2,,O00142
TKT,,P29401
TLE1,,Q04724
TLE2,,Q04725
TLE4,,Q04727
TLK2,,Q86UE8
TLR1,,Q15399
TLR2,,O60603
TLR3,,O15455
TLR4,,O00206
TLR7,,Q9NYK1
TLR8,,Q9NR97
TLR9,,Q9NR96
TLX1,,P31314
TLX2,,O43763
TLX3,,O43711
TMF1,,P82094
TMIGD3,,P0DMS9
TMP1,,None
TNF,,P01375
TNFRSF10A,,O00220
TNFRSF10B,,O14763
TNFRSF1A,,P19438
TNFRSF21,,O75509
TNFRSF4,,P43489
TNFSF10,,P50591
TNFSF11,,O14788
TNFSF13B,,Q9Y275
TNFSF4,,P23510
TNIK,,Q9UKE5
TNK1,,Q13470
TNK2,,Q07912
TNKS,,O95271
TNKS2,,Q9H2K2
TNNC1,,P63316
TNNC2,,P02585
TNNI3,,P19429
TNPO1,,Q92973
TOB1,,P50616
TONSL,,Q96HA7
TOP1,,P11387
TOP1MT,,Q969P6
TOP2A,,P11388
TOP2B,,Q02880
TOPORS,,Q9NS56
TOX,,O94900
TOX2,,Q96NM4
TOX3,,O15405
TOX4,,O94842
TP53,-0.03113372571170833,P04637
TP63,,Q9H3D4
TP73,,O15350
TPH1,,P17752
TPH2,,Q8IWU9
TPI1,,P60174
TPMT,,P51580
TPO,,P07202
TPP2,,P29144
TPR,,P12270
TPRX1,,Q8N7U7
TPRX2P,,TPRX2P
TPSAB1,,Q15661
TPX2,,Q9ULW0
TRAF6,,Q9Y4K3
TRAK1,,Q9UPV9
TRAP1,,Q12931
TREH,,O43280
TRERF1,,Q96PN7
TRHR,,P34981
TRIB3,,Q96RU7
TRIM11,,Q96F44
TRIM13,,O60858
TRIM16,,O95361
TRIM17,,Q9Y577
TRIM21,,P19474
TRIM22,,Q8IYM9
TRIM24,,O15164
TRIM25,,Q14258
TRIM27,,P14373
TRIM28,,Q13263
TRIM29,,Q14134
TRIM32,,Q13049
TRIM33,,Q9UPN9
TRIM6,,Q9C030
TRIM7,,Q9C029
TRIO,,O75962
TRIP11,,Q15643
TRIP4,,Q15650
TRIP6,,Q15654
TRPA1,,O75762
TRPC1,,P48995
TRPC3,,Q13507
TRPC4,,Q9UBN4
TRPC5,,Q9UL62
TRPC6,,Q9Y210
TRPC7,,Q9HCX4
TRPM2,,O94759
TRPM3,,Q9HCF6
TRPM4,,Q8TD43
TRPM5,,Q9NZQ8
TRPM6,,Q9BX84
TRPM7,,Q96QT4
TRPM8,,Q7Z2W7
TRPS1,,Q9UHF7
TRPV1,,Q8NER1
TRPV2,,Q9Y5S1
TRPV3,,Q8NET8
TRPV4,,Q9HBA0
TRPV5,,Q9NQA5
TRPV6,,Q9H1D0
TRRAP,,Q9Y4A5
TSC1,,Q92574
TSC2,,P49815
TSC22D1,,Q15714
TSC22D2,,O75157
TSC22D3,,Q99576
TSC22D4,,Q9Y3Q8
TSG101,,Q99816
TSHB,,P01222
TSHR,,P16473
TSHZ1,,Q6ZSZ6
TSHZ2,,Q9NRE2
TSHZ3,,Q63HK5
TSPO,,P30536
TSSK1B,,Q9BXA7
TSSK2,,Q96PF2
TTF1,,Q15361
TTF2,,Q9UNY4
TTK,,P33981
TTPA,,P49638
TTR,,P02766
TUB,,P50607
TUB1,,None
TUB2,,None
TUBA1A,,Q71U36
TUBA1B,,P68363
TUBA1C,,Q9BQE3
TUBA3C,,P0DPH7
TUBA3D,,P0DPH8
TUBA3E,,Q6PEY2
TUBA4A,,P68366
TUBA8,,Q9NY65
TUBB,,P07437
TUBB1,,Q9H4B7
TUBB2A,,Q13885
TUBB2B,,Q9BVA1
TUBB3,,Q13509
TUBB4A,,P04350
TUBB4B,,P68371
TUBB6,,Q9BUF5
TUBB8,,Q3ZCM7
TUBD1,,Q9UJT1
TUBE1,,Q9UJT0
TUBG1,,P23258
TULP1,,O00294
TULP2,,O00295
TULP3,,O75386
TULP4,,Q9NRJ4
TWIST1,,Q15672
TWIST2,,Q8WVJ9
TXK,,P42681
TXN,,P10599
TXN2,,Q99757
TXNIP,,Q9H3M7
TXNRD1,,Q16881
TXNRD2,,Q9NNW7
TYK2,,P29597
TYMP,,P19971
TYMS,,P04818
TYR,,P14679
TYRO3,,Q06418
TYW1,,Q9NV66
UBA1,,P22314
UBA3,,Q8TBC4
UBE2B,,P63146
UBE2I,,P63279
UBE2K,,P61086
UBE2L3,,P68036
UBE2N,,P61088
UBE3A,,Q05086
UBP1,,Q9NZI7
UBTF,,P17480
UBTFL1,,P0CB47
UCHL1,,P09936
UCHL5,,Q9Y5K5
UCK2,,Q9BZX2
UCP1,,P25874
UCP2,,P55851
UCP3,,P55916
UEVLD,,Q8IX04
UGCG,,Q16739
UGDH,,O60701
UGT1A1,,P22309
UGT1A10,,Q9HAW8
UGT1A3,,P35503
UGT1A4,,P22310
UGT1A6,,P19224
UGT1A8,,Q9HAW9
UGT1A9,,O60656
UGT2B15,,P54855
UGT2B17,,O75795
UGT2B4,,P06133
UGT2B7,,P16662
UGT3A1,,Q6NUS8
UIMC1,,Q96RL1
UL54,,None
ULK1,,O75385
ULK2,,Q8IYT8
ULK3,,Q6PHR2
UMPS,,P11172
UNC13B,,O14795
UNCX,,A6NJT0
URI1,,O94763
UROD,,P06132
UROS,,P10746
USF1,,P22415
USF2,,Q15853
USF3,,Q68DE3
USP1,,O94782
USP10,,Q14694
USP13,,Q92995
USP14,,P54578
USP16,,Q9Y5T5
USP2,,O75604
USP21,,Q9UK80
USP22,,Q9UPT9
USP46,,P62068
USP7,,Q93009
USP9X,,Q93008
UTF1,,Q5T230
UTRN,,P46939
UTS2R,,Q9UKP6
VAMP2,,P63027
VAX1,,Q5SQQ9
VAX2,,Q9UIW0
VCAM1,,P19320
VCP,,P55072
VDAC1,,P21796
VDAC2,,P45880
VDAC3,,Q9Y277
VDR,0.04349597493825254,P11473
VEGFA,,P15692
VENTX,,O95231
VEZF1,,Q14119
VGLL1,,Q99990
VGLL2,,Q8N8G2
VGLL4,,Q14135
VHL,,P40337
VIL1,,P09327
VILL,,O15195
VIP,,P01282
VIPR1,,P32241
VIPR2,,P41587
VKORC1,,Q9BQB6
VKORC1L1,,Q8N0U8
VMAT2,,None
VPS25,,Q9BRG1
VPS72,,Q15906
VSX1,,Q9NZR4
VSX2,,P58304
VWF,,P04275
WARS,,None
WARS2,,Q9UGM6
WAS,,P42768
WASL,,O00401
WDHD1,,O75717
WDR5,,P61964
WDR77,,Q9BQA1
WEE1,,P30291
WHSC1,,None
WHSC1L1,,None
WIZ,,O95785
WNK1,,Q9H4A3
WNK2,,Q9Y3S1
WNK3,,Q9BYP7
WNK4,,Q96J92
WNT3A,,P56704
WNT4,,P56705
WRN,,Q14191
WT1,0.005139384867836407,P19544
WTIP,,A6NIX2
WWC1,,Q8IX03
WWP1,,Q9H0M0
WWTR1,,Q9GZV5
XAF1,,Q6GPH4
XBP1,,P17861
XDH,,P47989
XIAP,,P98170
XPA,,P23025
XPO1,,O14980
XRCC1,,P18887
XRCC3,,O43542
XRCC6,,P12956
XYLT1,,Q86Y38
YAF2,,Q8IY57
YAP1,,P46937
YARS,,None
YBX1,,P67809
YBX2,,Q9Y2T7
YBX3,,P16989
YEATS2,,Q9ULM3
YEATS4,,O95619
YES1,,P07947
YWHAB,,P31946
YY1,,P25490
YY1AP1,,Q9H869
YY2,,O15391
ZACN,,Q401N2
ZAP70,,P43403
ZBED1,,O96006
ZBED2,,Q9BTP6
ZBED3,,Q96IU2
ZBED4,,O75132
ZBED6,,P86452
ZBTB1,,Q9Y2K1
ZBTB11,,O95625
ZBTB12,,Q9Y330
ZBTB14,,O43829
ZBTB16,,Q05516
ZBTB17,,Q13105
ZBTB18,,Q99592
ZBTB2,,Q8N680
ZBTB20,,Q9HC78
ZBTB21,,Q9ULJ3
ZBTB22,,O15209
ZBTB24,,O43167
ZBTB25,,P24278
ZBTB26,,Q9HCK0
ZBTB3,,Q9H5J0
ZBTB32,,Q9Y2Y4
ZBTB34,,Q8NCN2
ZBTB37,,Q5TC79
ZBTB38,,Q8NAP3
ZBTB39,,O15060
ZBTB4,,Q9P1Z0
ZBTB40,,Q9NUA8
ZBTB41,,Q5SVQ8
ZBTB42,,B2RXF5
ZBTB43,,O43298
ZBTB44,,Q8NCP5
ZBTB45,,Q96K62
ZBTB46,,Q86UZ6
ZBTB47,,Q9UFB7
ZBTB48,,P10074
ZBTB49,,Q6ZSB9
ZBTB6,,Q15916
ZBTB7A,,O95365
ZBTB7B,,O15156
ZBTB7C,,A1YPR0
ZBTB8A,,Q96BR9
ZBTB8B,,Q8NAP8
ZEB1,,P37275
ZEB2,,O60315
ZFAT,,Q9P243
ZFHX2,,Q9C0A1
ZFHX3,,Q15911
ZFHX4,,Q86UP3
ZFP1,,Q6P2D0
ZFP14,,Q9HCL3
ZFP2,,Q6ZN57
ZFP28,,Q8NHY6
ZFP3,,Q96NJ6
ZFP30,,Q9Y2G7
ZFP36L1,,Q07352
ZFP36L2,,P47974
ZFP37,,Q9Y6Q3
ZFP41,,Q8N8Y5
ZFP42,,Q96MM3
ZFP57,,Q9NU63
ZFP62,,Q8NB50
ZFP64,,Q9NTW7
ZFP69,,Q49AA0
ZFP69B,,Q9UJL9
ZFP82,,Q8N141
ZFP90,,Q8TF47
ZFP91,,Q96JP5
ZFP91-CNTF,,ZFP91-CNTF
ZFP92,,A6NM28
ZFPM1,,Q8IX07
ZFPM2,,Q8WW38
ZFX,,P17010
ZFY,,P08048
ZGLP1,,P0C6A0
ZHX1,,Q9UKY1
ZHX2,,Q9Y6X8
ZHX3,,Q9H4I2
ZIC1,,Q15915
ZIC2,,O95409
ZIC3,,O60481
ZIC4,,Q8N9L1
ZIC5,,Q96T25
ZIK1,,Q3SY52
ZIM2,,Q9NZV7
ZIM3,,Q96PE6
ZKSCAN1,,P17029
ZKSCAN2,,Q63HK3
ZKSCAN3,,Q9BRR0
ZKSCAN4,,Q969J2
ZKSCAN5,,Q9Y2L8
ZKSCAN7,,Q9P0L1
ZKSCAN8,,Q15776
ZMIZ1,,Q9ULJ6
ZMIZ2,,Q8NF64
ZMPSTE24,,O75844
ZMYM2,,Q9UBW7
ZMYND11,,Q15326
ZMYND8,,Q9ULU4
ZNF10,,P21506
ZNF100,,Q8IYN0
ZNF101,,Q8IZC7
ZNF107,,Q9UII5
ZNF112,,Q9UJU3
ZNF114,,Q8NC26
ZNF117,,Q03924
ZNF12,,P17014
ZNF121,,P58317
ZNF124,,Q15973
ZNF131,,P52739
ZNF132,,P52740
ZNF133,,P52736
ZNF134,,P52741
ZNF135,,P52742
ZNF136,,P52737
ZNF138,,P52744
ZNF14,,P17017
ZNF140,,P52738
ZNF141,,Q15928
ZNF142,,P52746
ZNF143,,P52747
ZNF146,,Q15072
ZNF148,,Q9UQR1
ZNF154,,Q13106
ZNF155,,Q12901
ZNF157,,P51786
ZNF16,,P17020
ZNF160,,Q9HCG1
ZNF165,,P49910
ZNF169,,Q14929
ZNF17,,P17021
ZNF174,,Q15697
ZNF175,,Q9Y473
ZNF177,,Q13360
ZNF18,,P17022
ZNF180,,Q9UJW8
ZNF181,,Q2M3W8
ZNF182,,P17025
ZNF184,,Q99676
ZNF189,,O75820
ZNF19,,P17023
ZNF195,,O14628
ZNF197,,O14709
ZNF2,,Q9BSG1
ZNF20,,P17024
ZNF200,,P98182
ZNF202,,O95125
ZNF205,,O95201
ZNF208,,O43345
ZNF211,,Q13398
ZNF212,,Q9UDV6
ZNF213,,O14771
ZNF214,,Q9UL59
ZNF215,,Q9UL58
ZNF217,,O75362
ZNF219,,Q9P2Y4
ZNF22,,P17026
