protein,pearson_correlation,protein_uniprot
CYP2R1,,Q6VVX0
CYP2S1,,Q96SQ9
CYP2U1,,Q7Z449
CYP2W1,,Q8TAV3
CYP3A4,,P08684
CYP3A43,,Q9HB55
CYP3A5,,P20815
CYP3A7,,P24462
CYP46A1,,Q9Y6A2
CYP4A11,,Q02928
CYP4B1,,P13584
CYP4F11,,Q9HBI6
CYP4F12,,Q9HCS2
CYP4F2,,P78329
CYP4X1,,Q8N118
CYP4Z1,,Q86W10
CYP51A1,,Q16850
CYP7A1,,P22680
CYP7B1,,O75881
CYP8B1,,Q9UNU6
CYSLTR1,,Q9Y271
CYSLTR2,,Q9NS75
CYTH1,,Q15438
CYTH2,,Q99418
CYTH3,,O43739
CYTH4,,Q9UIA0
DACH1,,Q9UI36
DACH2,,Q96NX9
DAG1,,Q14118
DAGLA,,Q9Y4D2
DAGLB,,Q8NCG7
DAO,,P14920
DAPK1,,P53355
DAPK2,,Q9UIK4
DAPK3,,O43293
DARS,,None
DARS2,,Q6PI48
DAXX,,Q9UER7
DBH,,P09172
DBP,,Q10586
DBX1,,A6NMT0
DBX2,,Q6ZNG2
DCC,,P43146
DCK,,P27707
DCLK2,,Q8N568
DCP2,,Q8IU60
DCTD,,P32321
DDAH1,,O94760
DDAH2,,O95865
DDC,,P20711
DDIT3,0.025738353522998466,P35638
DDR1,,Q08345
DDR2,,Q16832
DDX17,,Q92841
DDX20,,Q9UHI6
DDX5,,P17844
DDX54,,Q8TDD1
DEAF1,,O75398
DEK,,P35659
DFFA,,O00273
DGAT1,,O75907
DGAT2,,Q96PD7
DGKA,,P23743
DHCR24,,Q15392
DHCR7,,Q9UBM7
DHFR,,P00374
DHFR2,,Q86XF0
DHFRP1,,DHFRP1
DHH,,O43323
DHODH,,Q02127
DHPS,,P49366
DHX58,,Q96C10
DHX9,,Q08211
DIO1,,P49895
DIO2,,Q92813
DIRAS1,,O95057
DIRAS2,,Q96HU8
DKK1,,O94907
DLAT,,P10515
DLD,,P09622
DLG4,,P78352
DLX1,,P56177
DLX2,,Q07687
DLX3,,O60479
DLX4,,Q92988
DLX5,,P56178
DLX6,,P56179
DMAP1,,Q9NPF5
DMBX1,,Q8NFW5
DMC1,,Q14565
DMD,,P11532
DMPK,,Q09013
DMRT1,,Q9Y5R6
DMRT2,,Q9Y5R5
DMRT3,,Q9NQL9
DMRTA1,,Q5VZB9
DMRTA2,,Q96SC8
DMRTB1,,Q96MA1
DMRTC2,,Q8IXT2
DMTF1,,Q9Y222
DNA2,,P51530
DNAJC1,,Q96KC8
DNAJC2,,Q99543
DNASE1,,P24855
DNM1,,Q05193
DNM1L,,O00429
DNM2,,P50570
DNMT1,0.00670100516466666,P26358
DNMT3A,,Q9Y6K1
DNMT3B,,Q9UBC3
DNPEP,,Q9ULA0
DOT1L,,Q8TEK3
DPEP1,,P16444
DPF2,,Q92785
DPP4,,P27487
DPP7,,Q9UHL4
DPP8,,Q6V1X1
DPYD,,Q12882
DR1,,Q01658
DRAP1,,Q14919
DRD1,,P21728
DRD2,,P14416
DRD3,,P35462
DRD4,,P21917
DRD5,,P21918
DRGX,,A6NNA5
DSTYK,,Q6XUX3
DTX1,,Q86Y01
DTX4,,Q9Y2E6
DUSP1,,P28562
DUSP6,,Q16828
DUT,,P33316
DUX4,,Q9UBX2
DUX4L4,,P0CJ87
DUXA,,A6NLW8
DYRK1A,,Q13627
DYRK1B,0.005796249975634079,Q9Y463
DYRK2,,Q92630
DYRK3,,O43781
EARS2,,Q5JPH6
EBF1,,Q9UH73
EBF2,,Q9HAK2
EBF3,,Q9H4W6
EBF4,,Q9BQW3
EBP,,Q15125
ECD,,O95905
ECE1,,P42892
