,drug,class
390,pubchem.compound:16759369,[]
391,pubchem.compound:5707,[]
392,pubchem.compound:5694,[12]
393,pubchem.compound:9830392,[]
394,pubchem.compound:11494970,[]
395,pubchem.compound:50287,[]
396,pubchem.compound:5587,[4]
397,pubchem.compound:71433791,[]
398,pubchem.compound:9823180,[]
399,pubchem.compound:442872,[]
400,pubchem.compound:5152,[12]
401,pubchem.compound:5941539,[]
402,pubchem.compound:9872438,[12]
403,pubchem.compound:195164,[]
404,pubchem.compound:5311452,[]
405,pubchem.compound:164305,[11]
406,pubchem.compound:10668061,[]
407,pubchem.compound:2807869,[]
408,pubchem.compound:4306515,[]
409,pubchem.compound:4210951,[]
410,pubchem.compound:667594,[]
411,pubchem.compound:6604926,[]
412,pubchem.compound:443389,[]
413,pubchem.compound:126769,[]
414,pubchem.compound:39912,[15]
415,pubchem.compound:60511,[]
416,pubchem.compound:135410906,[4]
417,pubchem.compound:3567002,[]
418,pubchem.compound:5926218,[]
419,pubchem.compound:19423848,[]
420,pubchem.compound:6421522,[]
421,pubchem.compound:9929138,[]
422,pubchem.compound:9549305,[]
423,pubchem.compound:11243536,[8]
424,pubchem.compound:5917,[]
425,pubchem.compound:43345,[11]
426,pubchem.compound:10494,[]
427,pubchem.compound:9918,[]
428,pubchem.compound:262093,[]
429,pubchem.compound:19103,[]
430,pubchem.compound:107838,[]
431,pubchem.compound:9803475,[]
432,pubchem.compound:22084904,[]
433,pubchem.compound:448222,[]
434,pubchem.compound:176157,[8]
435,pubchem.compound:45073445,[]
436,pubchem.compound:5614,[]
437,pubchem.compound:4262,[]
438,pubchem.compound:393595,[]
439,pubchem.compound:5377914,[]
440,pubchem.compound:5353760,[]
441,pubchem.compound:3034012,[8]
442,pubchem.compound:57242,[16]
443,pubchem.compound:447966,[]
444,pubchem.compound:9819927,[]
445,pubchem.compound:11507802,[]
446,pubchem.compound:5280934,[]
447,pubchem.compound:4350931,[8]
448,pubchem.compound:10410894,[]
449,pubchem.compound:5311374,[]
450,pubchem.compound:9872740,[]
451,pubchem.compound:4273754,[]
452,pubchem.compound:3035842,[]
453,pubchem.compound:3082718,[]
454,pubchem.compound:2736690,[]
455,pubchem.compound:3611,[]
456,pubchem.compound:5281542,[]
457,pubchem.compound:5281680,[]
458,pubchem.compound:446738,[]
459,pubchem.compound:9911463,[]
460,pubchem.compound:173615,[]
461,pubchem.compound:60785,[8]
462,pubchem.compound:5311100,[]
463,pubchem.compound:49381,[]
464,pubchem.compound:5036604,[]
465,pubchem.compound:73453,[]
466,pubchem.compound:3206,[]
467,pubchem.compound:3177,[]
468,pubchem.compound:443375,[13]
469,pubchem.compound:2984,[8]
470,pubchem.compound:3038495,[8]
471,pubchem.compound:4277,[]
472,pubchem.compound:107935,[2]
473,pubchem.compound:16759155,[]
474,pubchem.compound:5475158,[]
475,pubchem.compound:6278000,[]
476,pubchem.compound:2777,[]
477,pubchem.compound:9915956,[8]
478,pubchem.compound:5024764,[]
479,pubchem.compound:2685,[]
480,pubchem.compound:5311242,[]
481,pubchem.compound:10154,[]
482,pubchem.compound:9841972,[]
483,pubchem.compound:2419,[]
484,pubchem.compound:10479060,[]
485,pubchem.compound:2126,[]
486,pubchem.compound:4302963,[]
487,pubchem.compound:3678,[]
488,pubchem.compound:5328770,[]
489,pubchem.compound:5351362,[2]
490,pubchem.compound:3330,[]
491,pubchem.compound:1354,[]
492,pubchem.compound:2837530,[]
493,pubchem.compound:3035746,[]
494,pubchem.compound:4668801,[2]
495,pubchem.compound:7333,[]
496,pubchem.compound:445580,[]
497,pubchem.compound:2775510,[]
498,pubchem.compound:5281707,[]
499,pubchem.compound:65637,[11]
500,pubchem.compound:5329006,[]
501,pubchem.compound:176407,[]
502,pubchem.compound:122623,[]
503,pubchem.compound:5712,[]
504,pubchem.compound:124887,[]
505,pubchem.compound:4299,[]
506,pubchem.compound:6280,[]
507,pubchem.compound:6420161,[]
508,pubchem.compound:5311493,[]
509,pubchem.compound:5626,[]
510,pubchem.compound:5387,[12]
511,pubchem.compound:667601,[]
512,pubchem.compound:68077,[]
513,pubchem.compound:447912,[]
514,pubchem.compound:5368,[]
515,pubchem.compound:2777391,[]
516,pubchem.compound:122150,[]
517,pubchem.compound:6450842,[]
518,pubchem.compound:3467590,[]
519,pubchem.compound:5311451,[]
520,pubchem.compound:5270,[]
521,pubchem.compound:6917797,[]
522,pubchem.compound:6736,[]
523,pubchem.compound:5218788,[]
524,pubchem.compound:5191,[]
525,pubchem.compound:5018,[]
526,pubchem.compound:5174,[]
527,pubchem.compound:5175,[]
528,pubchem.compound:4521392,[12]
529,pubchem.compound:4331799,[]
530,pubchem.compound:6604858,[]
531,pubchem.compound:127382,[]
532,pubchem.compound:5081,[]
533,pubchem.compound:16759175,[]
534,pubchem.compound:133076,[]
535,pubchem.compound:183782,[]
536,pubchem.compound:6604789,[]
537,pubchem.compound:3693566,[]
538,pubchem.compound:5063,[]
539,pubchem.compound:9884487,[]
540,pubchem.compound:4916,[12]
541,pubchem.compound:4878,[]
542,pubchem.compound:27559,[]
543,pubchem.compound:9956637,[]
544,pubchem.compound:9820766,[]
545,pubchem.compound:4995951,[]
546,pubchem.compound:129348,[12]
547,pubchem.compound:91668,[2]
548,pubchem.compound:4567,[]
549,pubchem.compound:4515,[8]
550,pubchem.compound:5875451,[]
551,pubchem.compound:4431,[]
552,pubchem.compound:135409468,[8]
553,pubchem.compound:1348,[]
554,pubchem.compound:4216,[]
555,pubchem.compound:11683,[]
556,pubchem.compound:4044,[16]
557,pubchem.compound:72430,[8]
558,pubchem.compound:182585,[]
559,pubchem.compound:671690,[]
560,pubchem.compound:2802894,[]
561,pubchem.compound:4355450,[]
562,pubchem.compound:54676905,[]
563,pubchem.compound:3894,[]
564,pubchem.compound:5311200,[8]
565,pubchem.compound:133633,[]
566,pubchem.compound:54687453,[]
567,pubchem.compound:132059,[8]
568,pubchem.compound:71296988,[]
569,pubchem.compound:6603901,[]
570,pubchem.compound:3820,[]
571,pubchem.compound:9823846,[]
572,pubchem.compound:3803,[]
573,pubchem.compound:3799,[]
574,pubchem.compound:69831604,[]
575,pubchem.compound:6453092,[]
576,pubchem.compound:5701996,[]
577,pubchem.compound:10212,[]
578,pubchem.compound:3544,[]
579,pubchem.compound:6450546,[]
580,pubchem.compound:3447,[13]
581,pubchem.compound:3538,[8]
582,pubchem.compound:644213,[]
583,pubchem.compound:9943465,[]
584,pubchem.compound:9934458,[]
585,pubchem.compound:3385203,[]
586,pubchem.compound:9884817,[13]
587,pubchem.compound:128018,[]
588,pubchem.compound:9953599,[8]
589,pubchem.compound:3456,[]
590,pubchem.compound:3423,[]
591,pubchem.compound:440735,[]
592,pubchem.compound:9801969,[]
593,pubchem.compound:9892554,[]
594,pubchem.compound:6166,[]
595,pubchem.compound:4284,[]
596,pubchem.compound:656765,[]
597,pubchem.compound:3921152,[]
598,pubchem.compound:54682463,[]
599,pubchem.compound:2753,[]
600,pubchem.compound:57364,[11]
601,pubchem.compound:58144,[]
602,pubchem.compound:4029677,[]
603,pubchem.compound:6711154,[]
604,pubchem.compound:2688,[]
605,pubchem.compound:3519541,[]
606,pubchem.compound:9817923,[]
607,pubchem.compound:16363,[8]
608,pubchem.compound:2438,[]
609,pubchem.compound:3654103,[]
610,pubchem.compound:134117,[]
611,pubchem.compound:10474339,[]
612,pubchem.compound:9903757,[]
613,pubchem.compound:5374,[]
614,pubchem.compound:6449767,[]
615,pubchem.compound:64981,[]
616,pubchem.compound:126688,[]
617,pubchem.compound:6604931,[]
618,pubchem.compound:135665263,[]
619,pubchem.compound:1550607,[]
620,pubchem.compound:65399,[2]
621,pubchem.compound:133104,[]
622,pubchem.compound:2125,[]
623,pubchem.compound:5328779,[2]
624,pubchem.compound:6091659,[]
625,pubchem.compound:2052,[]
626,pubchem.compound:54562,[]
627,pubchem.compound:9549298,[]
628,pubchem.compound:481747,[]
629,pubchem.compound:5281321,[]
630,pubchem.compound:11313361,[]
631,pubchem.compound:9799508,[]
632,pubchem.compound:62034,[]
633,pubchem.compound:6000,[]
634,pubchem.compound:3000667,[]
635,pubchem.compound:65351,[]
636,pubchem.compound:123662,[]
637,pubchem.compound:5330535,[]
638,pubchem.compound:1456,[]
639,pubchem.compound:84008,[]
640,pubchem.compound:3101,[]
641,pubchem.compound:102614,[]
642,pubchem.compound:9926048,[]
643,pubchem.compound:7239,[]
644,pubchem.compound:689043,[11]
645,pubchem.compound:14840979,[]
646,pubchem.compound:2229,[]
647,pubchem.compound:9954280,[]
648,pubchem.compound:761523,[]
649,pubchem.compound:442972,[]
650,pubchem.compound:9806489,[]
651,pubchem.compound:4673492,[11]
652,pubchem.compound:158793,[13]
653,pubchem.compound:9819432,[]
654,pubchem.compound:11784736,[]
655,pubchem.compound:11531745,[]
656,pubchem.compound:4306,[]
657,pubchem.compound:10330240,[]
658,pubchem.compound:4694339,[]
659,pubchem.compound:3035905,[8]
660,pubchem.compound:48229,[]
661,pubchem.compound:9874838,[]
662,pubchem.compound:6769,[]
663,pubchem.compound:6185,[]
664,pubchem.compound:5278,[]
665,pubchem.compound:22955,[]
666,pubchem.compound:1218,[8]
667,pubchem.compound:1241,[]
668,pubchem.compound:193949,[]
669,pubchem.compound:176408,[8]
670,pubchem.compound:107930,[8]
671,pubchem.compound:6604889,[8]
672,pubchem.compound:3854666,[8]
673,pubchem.compound:6604009,[8]
674,pubchem.compound:146157296,[]
675,pubchem.compound:6878030,[]
676,pubchem.compound:443951,[11]
677,pubchem.compound:3045227,[]
678,pubchem.compound:17756791,[]
679,pubchem.compound:46740,[]
680,pubchem.compound:11317883,[]
681,pubchem.compound:9953769,[12]
682,pubchem.compound:9824953,[]
683,pubchem.compound:5468216,[]
684,pubchem.compound:135433658,[]
685,pubchem.compound:311434,[]
686,pubchem.compound:68071,[]
687,pubchem.compound:11201035,[]
688,pubchem.compound:1990,[16]
689,pubchem.compound:4369491,[]
690,pubchem.compound:4712,[]
691,pubchem.compound:9887870,[]
692,pubchem.compound:5311093,[]
693,pubchem.compound:6604915,[]
694,pubchem.compound:5353842,[]
695,pubchem.compound:16102146,[]
696,pubchem.compound:123767,[]
697,pubchem.compound:5497186,[]
698,pubchem.compound:5486827,[]
699,pubchem.compound:3408722,[]
700,pubchem.compound:92327938,[]
701,pubchem.compound:1549133,[]
702,pubchem.compound:9888030,[]
703,pubchem.compound:9891901,[]
704,pubchem.compound:5288811,[]
705,pubchem.compound:11538542,[]
706,pubchem.compound:6603931,[12]
707,pubchem.compound:9926998,[]
708,pubchem.compound:9845197,[]
709,pubchem.compound:54483521,[]
710,pubchem.compound:10022508,[]
711,pubchem.compound:14987,[]
712,pubchem.compound:122162,[8]
713,pubchem.compound:442646,[]
714,pubchem.compound:122023,[12]
715,pubchem.compound:121930,[]
716,pubchem.compound:5311257,[]
717,pubchem.compound:6435901,[]
718,pubchem.compound:6603897,[]
719,pubchem.compound:132846,[]
720,pubchem.compound:132837,[]
721,pubchem.compound:121918,[8]
722,pubchem.compound:9872389,[18]
723,pubchem.compound:135400439,[]
724,pubchem.compound:1126109,[]
725,pubchem.compound:10446295,[]
726,pubchem.compound:11201705,[]
727,pubchem.compound:3783,[8]
728,pubchem.compound:127403,[]
729,pubchem.compound:5311192,[]
730,pubchem.compound:123686,[]
731,pubchem.compound:3674,[]
732,pubchem.compound:54685921,[]
733,pubchem.compound:10748,[]
734,pubchem.compound:10981286,[]
735,pubchem.compound:34772,[]
736,pubchem.compound:449241,[]
737,pubchem.compound:11595431,[]
738,pubchem.compound:5329480,[]
739,pubchem.compound:9800961,[]
740,pubchem.compound:3505,[8]
741,pubchem.compound:6918030,[11]
742,pubchem.compound:173614,[13]
743,pubchem.compound:107780,[8]
744,pubchem.compound:6439447,[]
745,pubchem.compound:3442,[]
746,pubchem.compound:107810,[]
747,pubchem.compound:13791,[8]
748,pubchem.compound:54677973,[]
749,pubchem.compound:441728,[]
750,pubchem.compound:5410903,[]
751,pubchem.compound:135522417,[8]
752,pubchem.compound:94701,[]
753,pubchem.compound:3919910,[]
754,pubchem.compound:9419,[8]
755,pubchem.compound:93504,[12]
756,pubchem.compound:2790,[]
